transfer_bucket,tickets,avg_duration_hours,avg_duration_days,avg_duration_hours_capped_168,tickets_over_24h,tickets_over_72h,tickets_over_168h,tickets_over_24h_pct,tickets_over_72h_pct,tickets_over_168h_pct,avg_duration_days_capped_168,median_duration_hours,median_duration_days
0,2910216,94.85216036551343,3.9521733485630595,31.412218795216834,843015,519861,287426,28.967437468559037,17.86331323860497,9.876449033336357,1.3088424498007014,0.8527777791023254,0.03553240746259689
1,598997,160.21876868195827,6.675782028414928,44.05420120313626,231577,152295,90266,38.660794628353734,25.425002128558237,15.0695245552148,1.8355917167973441,3.5108333341777325,0.14628472225740552
2,171856,374.7969741284996,15.616540588687483,81.25833956590651,110674,82998,55788,64.39926450051206,48.29508425658691,32.46206126059026,3.385764148579438,67.01916666515172,2.792465277714655
3,62516,553.4138699159936,23.058911246499733,103.40826597726569,48400,38913,27454,77.42018043380895,62.24486531447949,43.91515771962378,4.308677749052737,137.83347222022712,5.743061342509463
4,36416,806.7589324976227,33.61495552073428,121.79856709810598,31479,26828,20387,86.44277240773286,73.67091388400702,55.98363356766256,5.074940295754415,215.20999999903142,8.967083333292976
5+,66174,1389.200334471767,57.88334726965696,143.37243585514358,61957,57121,49032,93.6274065342884,86.31940036872487,74.09556623447276,5.9738514939643155,561.9181944429874,23.413258101791143
