transfer_bucket,tickets,reopened_tickets,reopen_rate,reopen_rate_pct,reopen_rate_ci_low,reopen_rate_ci_high,reopen_rate_ci_low_pct,reopen_rate_ci_high_pct
0,3166213,2335,0.0007374740739173265,0.07374740739173265,0.0007081717890232478,0.0007679878784359602,0.07081717890232478,0.07679878784359602
1,662810,370,0.0005582293568292573,0.05582293568292573,0.000504185396512688,0.0006180627421266665,0.0504185396512688,0.06180627421266665
2,192054,155,0.0008070646797254939,0.08070646797254939,0.0006896533491545057,0.000944446031456257,0.06896533491545057,0.09444460314562571
3,67696,53,0.0007829118411722997,0.07829118411722998,0.0005986516105108136,0.001023827813429227,0.05986516105108136,0.1023827813429227
4,38483,45,0.0011693475040927162,0.11693475040927162,0.0008740848499704735,0.0015641926521252035,0.08740848499704734,0.15641926521252036
5+,67714,60,0.0008860796880999498,0.08860796880999497,0.0006885091687674062,0.0011402791841088613,0.06885091687674062,0.11402791841088614
