group,tickets,reopened_tickets,reopen_rate,reopen_rate_pct,reopen_rate_ci_low,reopen_rate_ci_high,reopen_rate_ci_low_pct,reopen_rate_ci_high_pct,avg_owner_transfer_events
No Ownership Transfer,3166213,2335,0.0007374740739173265,0.07374740739173265,0.0007081717890232478,0.0007679878784359602,0.07081717890232478,0.07679878784359602,0.0
With Ownership Transfer,1028757,683,0.0006639079977098576,0.06639079977098576,0.0006159630122884356,0.00071558222602908,0.06159630122884356,0.07155822260290799,1.9304724050480337
