owner_bucket,transfer_bucket,tickets,sla_miss_rate,avg_duration_hours,median_duration_hours,owner_bucket_label,transfer_bucket_label,avg_duration_days,median_duration_days,sla_miss_pct,expected_sla_miss_tickets,is_stable_cell
0,0,146975,0.26230311277428137,153.02622179131814,2.6972222216427326,0,0,6.376092574638256,0.11238425923511386,26.230311277428136,38552.00000000001,True
0,1,2232,0.6966845878136201,453.7252537583311,146.4481944423169,0,1,18.90521890659713,6.102008101763204,69.668458781362,1555.0,True
0,2,328,0.8292682926829268,943.0998602644313,335.4712500013411,0,2,39.29582751101797,13.97796875005588,82.92682926829268,272.0,True
0,3,61,0.9180327868852459,1022.6755828782306,415.23722222819924,0,3,42.61148261992627,17.30155092617497,91.80327868852459,56.0,False
0,4,13,0.9230769230769231,1567.2157051288164,384.3488888964057,0,4,65.30065438036735,16.014537037350237,92.3076923076923,12.0,False
0,5,2,0.5,1500.8145833294839,1500.8145833294839,0,5,62.53394097206183,62.53394097206183,50.0,1.0,False
0,6,4,1.0,3126.9838888887316,1475.2370833307505,0,6+,130.29099537036382,61.468211805447936,100.0,4.0,False
1,0,27019,0.4013842111106999,266.99005182576457,27.93194444105029,1,0,11.12458549274019,1.1638310183770955,40.13842111106999,10845.0,True
1,1,465,0.8451612903225807,568.2759163681058,234.3447222188115,1,1,23.678163182004408,9.764363425783813,84.51612903225806,393.0,True
1,2,82,0.8414634146341463,1066.7692987805733,331.609583331272,1,2,44.448720782523885,13.817065972136334,84.14634146341463,69.0,False
1,3,16,0.875,1445.165555554675,574.4169444423169,1,3,60.21523148144479,23.934039351763204,87.5,14.0,False
1,4,3,1.0,4573.873333327472,1842.676666662097,1,4,190.57805555531135,76.77819444425404,100.0,3.0,False
1,5,4,1.0,1960.895416664891,698.9040277786553,1,5,81.70397569437046,29.12100115744397,100.0,4.0,False
1,6,1,1.0,2157.8916666582227,2157.8916666582227,1,6+,89.91215277742594,89.91215277742594,100.0,1.0,False
2,0,14657,0.6364194582793204,536.4736111112991,153.52138888835907,2,0,22.353067129637463,6.396724537014961,63.64194582793205,9328.0,True
2,1,345,0.8463768115942029,938.466211755347,366.6177777796984,2,1,39.10275882313946,15.275740740820765,84.63768115942028,292.0,True
2,2,89,0.8764044943820225,1164.820593009462,512.4411111138761,2,2,48.53419137539425,21.35171296307817,87.64044943820225,78.0,False
2,3,14,0.9285714285714286,1908.1112500016711,1117.8995833396912,2,3,79.50463541673629,46.579149305820465,92.85714285714286,13.0,False
2,4,5,0.8,2170.218500002474,2377.9177777804434,2,4,90.4257708334364,99.07990740751848,80.0,4.0,False
2,6,1,1.0,504.9111111089587,504.9111111089587,2,6+,21.03796296287328,21.03796296287328,100.0,1.0,False
3,0,5613,0.7591305897024764,746.9282843401583,259.40027778223157,3,0,31.122011847506595,10.808344907592982,75.91305897024763,4261.0,True
3,1,160,0.88125,899.8557413189671,553.0037499982864,3,1,37.49398922162363,23.041822916595265,88.125,141.0,True
3,2,43,0.7906976744186046,1334.724580102795,406.5197222158313,3,2,55.613524170949795,16.93832175899297,79.06976744186046,34.0,False
3,3,10,0.9,1373.0104444462806,456.5843055546284,3,3,57.20876851859503,19.024346064776182,90.0,9.0,False
3,4,7,1.0,1345.6787698407259,1093.550833325833,3,4,56.069948743363575,45.564618055243045,100.0,7.0,False
3,5,1,1.0,3833.400000002235,3833.400000002235,3,5,159.72500000009313,159.72500000009313,100.0,1.0,False
4,0,4306,0.8149094287041337,963.5815369382049,409.8936111163348,4,0,40.149230705758534,17.078900463180616,81.49094287041338,3509.0,True
4,1,135,0.9037037037037037,1270.026812757883,558.1675000078976,4,1,52.91778386491179,23.256979166995734,90.37037037037037,122.0,True
4,2,32,1.0,1372.313281250652,1179.4249999914318,4,2,57.1797200521105,49.142708332976326,100.0,32.0,False
4,3,13,1.0,1304.8448504272562,1030.0058333314955,4,3,54.36853543446901,42.91690972214565,100.0,13.0,False
4,4,7,0.8571428571428571,1095.2332142852247,1100.7177777774632,4,4,45.63471726188436,45.86324074072763,85.71428571428571,6.0,False
4,5,2,1.0,3120.6131944432855,3120.6131944432855,4,5,130.02554976847023,130.02554976847023,100.0,2.0,False
4,6,2,1.0,4079.0705555509776,4079.0705555509776,4,6+,169.9612731479574,169.9612731479574,100.0,2.0,False
5,0,2475,0.8606060606060606,1222.4291081930155,555.9177777729928,5,0,50.93454617470898,23.16324074054137,86.06060606060606,2130.0,True
5,1,67,0.9850746268656716,1375.497143449234,1288.2002777829766,5,1,57.31238097705142,53.67501157429069,98.50746268656717,66.0,False
5,2,36,1.0,1947.585000001515,1685.9977777786553,5,2,81.14937500006313,70.24990740744397,100.0,36.0,False
5,3,5,1.0,3393.924111109972,1399.2672222219408,5,3,141.41350462958215,58.3028009259142,100.0,5.0,False
5,4,2,1.0,4307.025694442913,4307.025694442913,5,4,179.45940393512137,179.45940393512137,100.0,2.0,False
5,5,2,1.0,1173.2345833294094,1173.2345833294094,5,5,48.88477430539206,48.88477430539206,100.0,2.0,False
5,6,3,1.0,2249.4879629574716,2686.785277772695,5,6+,93.72866512322798,111.94938657386228,100.0,3.0,False
6,0,8197,0.9421739660851531,2227.1127441950307,1350.1605555564165,6+,0,92.79636434145961,56.25668981485069,94.21739660851532,7723.0,True
6,1,223,0.968609865470852,2509.851324115867,1707.9200000055134,6+,1,104.5771385048278,71.16333333356306,96.8609865470852,216.0,True
6,2,108,0.9814814814814815,2892.2074022632505,2071.7302777748555,6+,2,120.50864176096877,86.32209490728565,98.14814814814815,106.0,True
6,3,27,1.0,3203.140514402754,2360.4605555534363,6+,3,133.46418810011474,98.35252314805984,100.0,27.0,False
6,4,16,1.0,2223.456128471531,2383.7966666668653,6+,4,92.64400535298046,99.32486111111939,100.0,16.0,False
6,5,7,1.0,3282.8936507967965,2567.7694444432855,6+,5,136.78723544986653,106.99039351847023,100.0,7.0,False
6,6,15,1.0,3924.2653888881205,2808.2994444407523,6+,6+,163.51105787033836,117.01247685169801,100.0,15.0,False
