owner_bucket,transfer_bucket,tickets,sla_miss_rate,avg_duration_hours,median_duration_hours,owner_bucket_label,transfer_bucket_label,avg_duration_days,median_duration_days,sla_miss_pct,expected_sla_miss_tickets,is_stable_cell
0,0,146975,0.26230311277428137,153.02622179131814,2.6972222216427326,0,0,6.376092574638256,0.11238425923511386,26.230311277428136,38552.00000000001,True
0,1,2232,0.6966845878136201,453.7252537583311,146.4481944423169,0,1,18.90521890659713,6.102008101763204,69.668458781362,1555.0,True
0,2,328,0.8292682926829268,943.0998602644313,335.4712500013411,0,2,39.29582751101797,13.97796875005588,82.92682926829268,272.0,True
1,0,27019,0.4013842111106999,266.99005182576457,27.93194444105029,1,0,11.12458549274019,1.1638310183770955,40.13842111106999,10845.0,True
1,1,465,0.8451612903225807,568.2759163681058,234.3447222188115,1,1,23.678163182004408,9.764363425783813,84.51612903225806,393.0,True
2,0,14657,0.6364194582793204,536.4736111112991,153.52138888835907,2,0,22.353067129637463,6.396724537014961,63.64194582793205,9328.0,True
2,1,345,0.8463768115942029,938.466211755347,366.6177777796984,2,1,39.10275882313946,15.275740740820765,84.63768115942028,292.0,True
3,0,5613,0.7591305897024764,746.9282843401583,259.40027778223157,3,0,31.122011847506595,10.808344907592982,75.91305897024763,4261.0,True
3,1,160,0.88125,899.8557413189671,553.0037499982864,3,1,37.49398922162363,23.041822916595265,88.125,141.0,True
4,0,4306,0.8149094287041337,963.5815369382049,409.8936111163348,4,0,40.149230705758534,17.078900463180616,81.49094287041338,3509.0,True
4,1,135,0.9037037037037037,1270.026812757883,558.1675000078976,4,1,52.91778386491179,23.256979166995734,90.37037037037037,122.0,True
5,0,2475,0.8606060606060606,1222.4291081930155,555.9177777729928,5,0,50.93454617470898,23.16324074054137,86.06060606060606,2130.0,True
6,0,8197,0.9421739660851531,2227.1127441950307,1350.1605555564165,6+,0,92.79636434145961,56.25668981485069,94.21739660851532,7723.0,True
6,1,223,0.968609865470852,2509.851324115867,1707.9200000055134,6+,1,104.5771385048278,71.16333333356306,96.8609865470852,216.0,True
6,2,108,0.9814814814814815,2892.2074022632505,2071.7302777748555,6+,2,120.50864176096877,86.32209490728565,98.14814814814815,106.0,True
